k	basic	custom	kmeansplusplus
5	0.11	0.12	0.1
10	0.2	0.21	0.19
15	0.26	0.28	0.27
20	0.34	0.34	0.28
25	0.35	0.4	0.37
30	0.42	0.44	0.43
35	0.43	0.47	0.48
40	0.44	0.51	0.5
45	0.45	0.53	0.49
50	0.5	0.54	0.52
55	0.53	0.56	0.54
60	0.54	0.58	0.54
65	0.55	0.62	0.57
70	0.56	0.62	0.56
75		0.62	0.55
80		0.62	0.57
85	0.59	0.62	0.6
90		0.62	0.56
95	0.6	0.63	0.6
100	0.6	0.64	0.6
105	0.59	0.67	0.63
110	0.62	0.62	0.62
115	0.62	0.65	0.62
120	0.62	0.64	0.62
125	0.62	0.64	0.59
130	0.59	0.63	0.61
135	0.59	0.68	0.62
140	0.62	0.68	0.63
145		0.63	0.61
150	0.62		0.63
175	0.62	0.65	0.63
200	0.61	0.62	0.61
